Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_Excel,Chrome 121.0.0.0,,,06-02-2024 11:25:47,06-02-2024 11:26:09,22.408s,ERROR
,,,,,,,
Test Cases/Amazon/TC_login,Chrome 121.0.0.0,,,06-02-2024 11:25:47,06-02-2024 11:26:09,22.178s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,06-02-2024 11:25:47,06-02-2024 11:25:49,1.647s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,06-02-2024 11:25:49,06-02-2024 11:25:54,5.195s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,06-02-2024 11:25:54,06-02-2024 11:25:58,3.850s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_email""), ""gangipoguvamsi@gmail.com"")",Chrome 121.0.0.0,,,06-02-2024 11:25:58,06-02-2024 11:26:02,3.643s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputcontinue""))",Chrome 121.0.0.0,,,06-02-2024 11:26:02,06-02-2024 11:26:03,0.856s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_password""), ""x6fQwyN0MjRbK76rsHqwog=="")",Chrome 121.0.0.0,,,06-02-2024 11:26:03,06-02-2024 11:26:09,6.083s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputsignInSubmit""))",Chrome 121.0.0.0,,,06-02-2024 11:26:09,06-02-2024 11:26:09,0.391s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,06-02-2024 11:26:09,06-02-2024 11:26:09,0.216s,PASSED
,,,,,,,
Test Cases/Amazon/Test_login,Chrome 121.0.0.0,,,06-02-2024 11:26:09,06-02-2024 11:26:09,0.003s,ERROR
