Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite,Chrome 121.0.0.0,,,07-02-2024 10:38:58,07-02-2024 10:40:37,1m - 38.658s,PASSED
,,,,,,,
Test Cases/Amazon/TC_login,Chrome 121.0.0.0,,,07-02-2024 10:40:22,07-02-2024 10:40:37,15.049s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 10:40:22,07-02-2024 10:40:23,1.386s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 10:40:23,07-02-2024 10:40:24,0.755s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 10:40:24,07-02-2024 10:40:28,3.781s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 10:40:28,07-02-2024 10:40:31,3.380s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_email""), ""gangipoguvamsi@gmail.com"")",Chrome 121.0.0.0,,,07-02-2024 10:40:31,07-02-2024 10:40:34,2.489s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 10:40:34,07-02-2024 10:40:36,2.006s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Amazon_Login/Amazon_Login""), false)",Chrome 121.0.0.0,,,07-02-2024 10:40:36,07-02-2024 10:40:36,0.342s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_password""), ""x6fQwyN0MjRbK76rsHqwog=="")",Chrome 121.0.0.0,,,07-02-2024 10:40:36,07-02-2024 10:40:37,0.352s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputsignInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 10:40:37,07-02-2024 10:40:37,0.340s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 10:40:37,07-02-2024 10:40:37,0.156s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 10:40:37,07-02-2024 10:40:37,0.019s,PASSED
